canvasInboxTranslation,2025.09.10,Inbox Translation,"Translation of inbox messages (""Inbox AI Translation"" feature flag) across 10 languages.",AWS Translate,Anthropic Claude models are provided via Instructure's in-house AI Platform.,No,Other,Inbox messages,Data is not stored or reused by the model.,Does not log data,,Global,,Not Exposed,PII in inbox messages may be sent to the model but no PII is intentionally sent to the model.,Yes,Yes,Users are displayed the translated copy of their message and can edit or remove it before they send the message.,,Machine translation may not fully capture the meaning of the original message.,Enable better multi-lingual communication in learning environments.,Canvas,2
canvasCourseTranslation,2025.09.10,Discussions Translation,"Translation of Discussion threads (""Course AI Translation"" feature flag) across 10 languages.",Haiku 3,Anthropic Claude models are provided via Instructure's in-house AI Platform.,No,Course,Announcement and Discussion prompts and replies,Data is not stored or reused by the model.,Does not log data,,Global,,Not Exposed,"PII in discussion replies may be sent to the model, but no PII is intentionally sent to the model.",Yes,Yes,Untranslated content is available to review translations against,,Machine translation may not fully capture the meaning of the original message.,Improve participation for students who do not natively speak the language of instruction or other replies.,Canvas,2
IgniteAgent,2025.09.10,Agent,Ignite Agent is a faculty chat assistant capable of translating natural language requests into complex Canvas workflows.,"Haiku 3.5, Sonnet 3.5",Anthropic Claude models are provided via Amazon Bedrock Foundation Models (FMs).,No,Other,The model uses chat transcripts and information requested from the Canvas API to execute its actions.,Chat logs are retained indefinitely for troubleshooting and debugging.,Logs data,Chat logs are retained for troubleshooting and debugging purposes.,"Virginia, Oregon",,Exposed,"If requested during the the chat, user, course, and student identifiers or metadata may be shared with the model.",Yes,Yes,"The agent only takes action based on human requests, and all write actions must be confirmed by the user.",Access to the agent is limited to users with an Admin- or Teacher-based role. Data access and functions are scoped to the permissions available to the chat user.,The model may misinterpret user requests and require additional prompting.,"Users are able to save time by relying on the Agent to execute complex workflows, batch actions, and other time-consuming Canvas tasks.",IgniteAI,2
rubricGenerator,2025.10.09,Rubric Creator,AI-generated rubric recommendations for Canvas assignments.,Haiku 3,Anthropic Claude models are provided via Amazon Bedrock Foundation Models (FMs).,No,Course,The Canvas assignment description field is used in generating rubric criteria.,Model responses are stored for debugging purposes.,Logs data,"Request, response, and feedback data is logged to assist in troubleshooting.",Global,,Not Exposed,,Yes,Yes,All created rubrics are reviewable and editable by the instructor.,The instructor may edit criteria before accepting the rubric.,The created rubric may not align with the assignment's intended learning outcomes.,A rubric aligned to learning outcomes is created for the instructor to use during grading.,Canvas,2
canvasGradingAssistance,2025.10.14,Grading Assistance,"AI powered automatic grading and feedback suggestions to enable more consistent, fair, and efficient grading workflows.",Haiku 3.5,Anthropic Claude models are provided via Instructure's in-house AI Platform.,No,"Course, Student","Assignment information, rubric, and student submissions.",Transactional data is retained for the life of the request,Logs data,Complete response from the LLM is retained in the Canvas database for auditing purposes.,Global,,Not Exposed,"No PII is intentionally sent to the model. If there is incidental PII in any of the shared data, such as in the submission body, it will be sent to the model.",Yes,Yes,"Grade suggestion is displayed and selected by default, but the instructor much make the final decision to edit or accept the suggestions.",The Claude Sonnet model has inherent guardrails built in.,Model may work better with certain kinds of assignment types or disciplines. The grader must remain alert to incorrect assumptions from the model.,"Reduced bias in grading, fairness, and consistency. Grading efficiency, saving teachers time.",Canvas,2
discussionInsights,2025.10.02,Discussion Insights,"Discussion Insights uses AI to evaluate student discussion replies, highlight relevant contributions, and flag those that may need instructor review.",Haiku 3,Anthropic Claude models are provided via Amazon Bedrock Foundation Models (FMs).,No,Course,"Discussion topic, prompt, and student replies are used.",No user data is stored or reused by the model.,Logs data,Model evaluations and reply labels are logged for debugging and troubleshooting purposes.,Global,,Exposed,"Known PII is masked before being sent to the model, though any PII present in the discussion reply is not and may be shared with the model.",Yes,Yes,Instructors may review AI-generated evaluations or review posts directly.,"Model responses are logged for quality assurance, and responses with low confidence are flagged ""Needs Review"" to encourage human intervention.",The model may misclassify some nuanced replies.,"Instructors are able to quickly assess the quality of student replies, identify low-effort or off-topic contributions, and focus their attention to where it is needed most.",Canvas,2
smartSearch,2025.10.02,Smart Search,Natural language search of course content for students and instructors.,Cohere Embed Multilingual,Cohere models are provided via Amazon Bedrock Foundation Models (FMs).,No,Course,Course content is indexed by the model and then stored in the Canvas database.,Data is not stored or reused by the model. Indexed course content is stored in the Canvas database.,Does not log data,,Global,,Not Exposed,"PII in course content may be indexed, but no PII is intentionally sent to the model.",Yes,Yes,Users are presented with a list of results related to their search query and can act or not act on them.,,Search results may be incorrectly sorted or may not be relevant to the search term.,"Students are able to quickly find answers to questions, and instructors are able to quickly navigate their courses.",Canvas,2
askyourdata,2025.09.12,Ask Your Data,AI-powered query tool enables users to ask natural language questions and receive textual or visual responses with detailed explanations of the methodology.,Doowii (multiple),"Doowii is a third-party sub-processor for Intelligent Insights. Doowii's tools use OpenAI GPT-4o, GPT-3.5 Turbo, and Claude Sonnet 3.5",No,Other,"Doowii is trained on the Canvas LMS database schema, and receives no data from Canvas. The user's prompt and heuristics (such as summary statistics) are shared with the model to generate a response.",Data is retained through the life of your contract with Instructure.,Logs data,,Global,,Exposed,"Prompt, summary statistics.",Yes,Yes,Ask your data returns a methodology description along with a generated query. Users have the ability to edit the generated SQL directly.,"Questions are scoped to the domain only, highly ambiguous terms ask for clarification.",Incorrect interpretation of the question. Inaccurate SQL may be generated. Suggested questions or methodologies may not be relevant.,Provide accurate data retrieval and analysis through natural language prompting.,Intelligent Insights,2
canvasDiscussionSummaries,2025.09.12,Discussion Summaries,"Discussion summaries of key points, questions, and insights.",Haiku 3,Anthropic Claude models are provided via Amazon Bedrock Foundation Models (FMs).,No,Course,Discussion prompt and replies.,Data is not stored or reused by the model.,Logs data,Summaries are logged in the Canvas database for review and reuse.,Global,,Not Exposed,"Pii in discussion replies may be sent to the model, but no PII is intentionally sent to the model.",Yes,Yes,Instructors may regenerate summaries or fine-tune them with additional instructions.,,Summaries may not capture all desired information.,Summaries allow discussion topics to be used in large-format courses and other environments where discussions were previously infeasible.,Canvas,2
BCEAltText,2025.10.01,Block Content Editor Alt Text Generator,,Haiku 3,Anthropic Claude models are provided via Amazon Bedrock Foundation Models (FMs).,No,Course,Content Editor Images.,Model responses are stored for debugging purposes.,Logs data,"Request, response, and feedback data is logged to assist in troubleshooting.",Global,,Not Exposed,,No,Yes,"User initiated, User must confirm output.",,Alt text might not always be accurate. ,An accessible Alt Text description of the image is generated.,Canvas,2
portfolios,2025.10.17,Portfolios,"AI Assitant for teachers to improve portfolio level and evidence level instructions improvement, skill extraction and reflection question generation.",Haiku 3,Anthropic Claude models are provided via Instructure's in-house AI Platform.,No,Other,Custom instructions that teachers provide in their Evaluation portfolios for students.,Data is not stored or re-used by the model.,Logs data,Model evaluations and reply labels are logged for debugging and troubleshooting purposes.,Global,,Not Exposed,,Yes,Yes,Teachers provide the input of the model (content) and the response by the model is not auto accepted. Teachers have the chance to modify the result every occasion.,"Teachers acces to the model is limited, it's only through the intructions of the portfolio/ evidence. There is suspicious prompt detection build in for extra security. ","LLM might suggest not the right questions or skills, or not an improved instruction to the user's liking.","A user-friendly tool for a safe writing assistant, and features to speed up administrative work, and provide more reliable portfolios for students to work with.",Canvas,2
